id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
445,GJ 180 d,39,7.56 Earths,10.914,2020
446,GJ 2030 b,121,4.76743 Earths,6.20902,2022
447,GJ 2030 c,121,12.803 Jupiters,6.20902,2022
448,GJ 2056 b,93,16.2 Earths,10.37,2020
449,GJ 229 A c,19,8.58137 Earths,8.15,2020
450,GJ 1061 c,12,1.74 Earths,12.7,2020
451,GJ 1061 d,12,1.64 Earths,12.7,2020
452,GJ 1132 b,41,1.66 Earths,13.68,2015
453,GJ 1132 c,41,2.64 Earths,13.68,2018
454,GJ 1148 b,36,0.30425 Jupiters,11.939,2010
455,GJ 1148 c,36,0.21414 Jupiters,11.939,2017
456,GJ 1151 c,26,10.62 Earths,13.76,2023
457,GJ 1214 b,48,8.17 Earths,15.1,2009
458,GJ 1252 b,66,1.32 Earths,12.68,2020
459,GJ 1265 b,33,7.4 Earths,14.01,2018
460,GJ 143 b,53,22.7 Earths,8.08,2019
461,GJ 15 A b,12,3.03 Earths,8.09,2014
462,GJ 15 A c,12,36 Earths,8.09,2018
463,GJ 160.2 b,84,10.2 Earths,9.7,2014
464,GJ 163 b,49,10.6 Earths,11.79,2013
465,GJ 163 c,49,6.8 Earths,11.79,2013
466,GJ 163 d,49,29.4 Earths,11.79,2013
467,GJ 179 b,40,0.95 Jupiters,11.963,2009
468,GJ 180 b,39,6.49 Earths,10.914,2014
469,GJ 180 c,39,6.4 Earths,10.914,2014
470,GJ 180 d,39,7.56 Earths,10.914,2020
471,GJ 2030 b,121,4.76743 Earths,6.20902,2022
472,GJ 2030 c,121,12.803 Jupiters,6.20902,2022
473,GJ 2056 b,93,16.2 Earths,10.37,2020
474,GJ 229 A c,19,8.58137 Earths,8.15,2020
475,GJ 1061 c,12,1.74 Earths,12.7,2020
476,GJ 1061 d,12,1.64 Earths,12.7,2020
477,GJ 1132 b,41,1.66 Earths,13.68,2015
478,GJ 1132 c,41,2.64 Earths,13.68,2018
479,GJ 1148 b,36,0.30425 Jupiters,11.939,2010
480,GJ 1148 c,36,0.21414 Jupiters,11.939,2017
481,GJ 1151 c,26,10.62 Earths,13.76,2023
482,GJ 1214 b,48,8.17 Earths,15.1,2009
483,GJ 1252 b,66,1.32 Earths,12.68,2020
484,GJ 1265 b,33,7.4 Earths,14.01,2018
485,GJ 143 b,53,22.7 Earths,8.08,2019
486,GJ 15 A b,12,3.03 Earths,8.09,2014
487,GJ 15 A c,12,36 Earths,8.09,2018
488,GJ 160.2 b,84,10.2 Earths,9.7,2014
489,GJ 163 b,49,10.6 Earths,11.79,2013
490,GJ 163 c,49,6.8 Earths,11.79,2013
491,GJ 163 d,49,29.4 Earths,11.79,2013
492,GJ 179 b,40,0.95 Jupiters,11.963,2009
493,GJ 180 b,39,6.49 Earths,10.914,2014
494,GJ 180 c,39,6.4 Earths,10.914,2014
495,GJ 180 d,39,7.56 Earths,10.914,2020
496,GJ 2030 b,121,4.76743 Earths,6.20902,2022
497,GJ 2030 c,121,12.803 Jupiters,6.20902,2022
498,GJ 2056 b,93,16.2 Earths,10.37,2020
499,GJ 229 A c,19,8.58137 Earths,8.15,2020
500,GJ 1061 c,12,1.74 Earths,12.7,2020
501,GJ 1061 d,12,1.64 Earths,12.7,2020
502,GJ 1132 b,41,1.66 Earths,13.68,2015
503,GJ 1132 c,41,2.64 Earths,13.68,2018
504,GJ 1148 b,36,0.30425 Jupiters,11.939,2010
505,GJ 1148 c,36,0.21414 Jupiters,11.939,2017
506,GJ 1151 c,26,10.62 Earths,13.76,2023
507,GJ 1214 b,48,8.17 Earths,15.1,2009
508,GJ 1252 b,66,1.32 Earths,12.68,2020
509,GJ 1265 b,33,7.4 Earths,14.01,2018
510,GJ 143 b,53,22.7 Earths,8.08,2019
511,GJ 15 A b,12,3.03 Earths,8.09,2014
512,GJ 15 A c,12,36 Earths,8.09,2018
513,GJ 160.2 b,84,10.2 Earths,9.7,2014
514,GJ 163 b,49,10.6 Earths,11.79,2013
515,GJ 163 c,49,6.8 Earths,11.79,2013
516,GJ 163 d,49,29.4 Earths,11.79,2013
517,GJ 179 b,40,0.95 Jupiters,11.963,2009
518,GJ 180 b,39,6.49 Earths,10.914,2014
519,GJ 180 c,39,6.4 Earths,10.914,2014
520,GJ 180 d,39,7.56 Earths,10.914,2020
521,GJ 2030 b,121,4.76743 Earths,6.20902,2022
522,GJ 2030 c,121,12.803 Jupiters,6.20902,2022
523,GJ 2056 b,93,16.2 Earths,10.37,2020
524,GJ 229 A c,19,8.58137 Earths,8.15,2020
525,GJ 1061 c,12,1.74 Earths,12.7,2020
526,GJ 1061 d,12,1.64 Earths,12.7,2020
527,GJ 1132 b,41,1.66 Earths,13.68,2015
528,GJ 1132 c,41,2.64 Earths,13.68,2018
529,GJ 1148 b,36,0.30425 Jupiters,11.939,2010
530,GJ 1148 c,36,0.21414 Jupiters,11.939,2017
531,GJ 1151 c,26,10.62 Earths,13.76,2023
532,GJ 1214 b,48,8.17 Earths,15.1,2009
533,GJ 1252 b,66,1.32 Earths,12.68,2020
534,GJ 1265 b,33,7.4 Earths,14.01,2018
535,GJ 143 b,53,22.7 Earths,8.08,2019
536,GJ 15 A b,12,3.03 Earths,8.09,2014
537,GJ 15 A c,12,36 Earths,8.09,2018
538,GJ 160.2 b,84,10.2 Earths,9.7,2014
539,GJ 163 b,49,10.6 Earths,11.79,2013
540,GJ 163 c,49,6.8 Earths,11.79,2013
541,GJ 163 d,49,29.4 Earths,11.79,2013
542,GJ 179 b,40,0.95 Jupiters,11.963,2009
543,GJ 180 b,39,6.49 Earths,10.914,2014
544,GJ 180 c,39,6.4 Earths,10.914,2014
545,GJ 180 d,39,7.56 Earths,10.914,2020
546,GJ 2030 b,121,4.76743 Earths,6.20902,2022
547,GJ 2030 c,121,12.803 Jupiters,6.20902,2022
548,GJ 2056 b,93,16.2 Earths,10.37,2020
549,GJ 229 A c,19,8.58137 Earths,8.15,2020
550,GJ 1061 c,12,1.74 Earths,12.7,2020
551,GJ 1061 d,12,1.64 Earths,12.7,2020
552,GJ 1132 b,41,1.66 Earths,13.68,2015
553,GJ 1132 c,41,2.64 Earths,13.68,2018
554,GJ 1148 b,36,0.30425 Jupiters,11.939,2010
555,GJ 1148 c,36,0.21414 Jupiters,11.939,2017
556,GJ 1151 c,26,10.62 Earths,13.76,2023
557,GJ 1214 b,48,8.17 Earths,15.1,2009
558,GJ 1252 b,66,1.32 Earths,12.68,2020
559,GJ 1265 b,33,7.4 Earths,14.01,2018
560,GJ 143 b,53,22.7 Earths,8.08,2019
561,GJ 15 A b,12,3.03 Earths,8.09,2014
562,GJ 15 A c,12,36 Earths,8.09,2018
563,GJ 160.2 b,84,10.2 Earths,9.7,2014
564,GJ 163 b,49,10.6 Earths,11.79,2013
565,GJ 163 c,49,6.8 Earths,11.79,2013
566,GJ 163 d,49,29.4 Earths,11.79,2013
567,GJ 179 b,40,0.95 Jupiters,11.963,2009
568,GJ 180 b,39,6.49 Earths,10.914,2014
569,GJ 180 c,39,6.4 Earths,10.914,2014
570,GJ 180 d,39,7.56 Earths,10.914,2020
571,GJ 2030 b,121,4.76743 Earths,6.20902,2022
572,GJ 2030 c,121,12.803 Jupiters,6.20902,2022
573,GJ 2056 b,93,16.2 Earths,10.37,2020
574,GJ 229 A c,19,8.58137 Earths,8.15,2020
575,GJ 1061 c,12,1.74 Earths,12.7,2020
576,GJ 1061 d,12,1.64 Earths,12.7,2020
577,GJ 1132 b,41,1.66 Earths,13.68,2015
578,GJ 1132 c,41,2.64 Earths,13.68,2018
579,GJ 1148 b,36,0.30425 Jupiters,11.939,2010
580,GJ 1148 c,36,0.21414 Jupiters,11.939,2017
581,GJ 1151 c,26,10.62 Earths,13.76,2023
582,GJ 1214 b,48,8.17 Earths,15.1,2009
583,GJ 1252 b,66,1.32 Earths,12.68,2020
584,GJ 1265 b,33,7.4 Earths,14.01,2018
585,GJ 143 b,53,22.7 Earths,8.08,2019
586,GJ 15 A b,12,3.03 Earths,8.09,2014
587,GJ 15 A c,12,36 Earths,8.09,2018
588,GJ 160.2 b,84,10.2 Earths,9.7,2014
589,GJ 163 b,49,10.6 Earths,11.79,2013
590,GJ 163 c,49,6.8 Earths,11.79,2013
591,GJ 163 d,49,29.4 Earths,11.79,2013
592,GJ 179 b,40,0.95 Jupiters,11.963,2009
593,GJ 180 b,39,6.49 Earths,10.914,2014
594,GJ 180 c,39,6.4 Earths,10.914,2014
595,GJ 180 d,39,7.56 Earths,10.914,2020
596,GJ 2030 b,121,4.76743 Earths,6.20902,2022
597,GJ 2030 c,121,12.803 Jupiters,6.20902,2022
598,GJ 2056 b,93,16.2 Earths,10.37,2020
599,GJ 229 A c,19,8.58137 Earths,8.15,2020
600,GJ 229 b,19,14.93794 Earths,8.15,2014
601,GJ 251 b,18,4 Earths,9.89,2020
602,GJ 27.1 b,77,13 Earths,11.45,2014
603,GJ 273 b,19,2.89 Earths,9.84,2017
604,GJ 273 c,19,1.18 Earths,9.84,2017
605,GJ 3021 b,57,3.37 Jupiters,6.59,2000
606,GJ 3082 b,54,8.2 Earths,11.041,2020
607,GJ 3090 b,73,3.34 Earths,11.403,2022
608,GJ 3138 b,93,1.78 Earths,10.8275,2017
609,GJ 3138 c,93,4.18 Earths,10.8275,2017
610,GJ 3138 d,93,10.5 Earths,10.8275,2017
611,GJ 317 b,50,2.5 Jupiters,12.4,2007
612,GJ 317 c,50,1.64396 Jupiters,12.4,2018
613,GJ 3222 b,59,11.44182 Earths,6.9,2022
614,GJ 328 b,67,2.51 Jupiters,9.99,2013
615,GJ 328 c,67,21.4 Earths,9.99,2023
616,GJ 3293 b,66,23.54 Earths,11.945,2015
617,GJ 3293 c,66,21.09 Earths,11.945,2015
618,GJ 3293 d,66,7.6 Earths,11.945,2017
619,GJ 3293 e,66,3.28 Earths,11.945,2017
620,GJ 3323 b,18,2.02 Earths,12.57,2017
621,GJ 3323 c,18,2.31 Earths,12.57,2017
622,GJ 3341 b,77,6.6 Earths,12.062,2015
623,GJ 338 B b,21,10.6 Earths,7.7,2020
624,GJ 3470 b,96,13.9 Earths,12.332,2012
